old-SiteName,Source,old-Distance,ServerIP,ServerCountry,Download,Upload,Latency,ISP,ISP2,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName,Country,IP,IPAddress,AppBundle,AppName,ModelName,ModelName2,Date Time
416417,Speedchecker,551.295169,162.158.98.71,AE,20.444,24.321,54,Mobily,Mobily,1.5478E+12,24.171998,47.342318,cellular,44296e72-2bb9-4145-b972-a6d41f9bf66e,DXB,{APP_ID},mopub,SA,176.224.55.186,176.224.55.186,com.myyearbook.m,9ugvqe0kl1dma48j9be0m187a,SM-G611F, SM-G611F Build/R16NW,18/01/2019 09:06
416417,Speedchecker,551.295169,162.158.98.71,AE,21.803,24.017,69,Mobily,Mobily,1.5478E+12,24.171998,47.342318,cellular,44296e72-2bb9-4145-b972-a6d41f9bf66e,DXB,{APP_ID},mopub,SA,176.224.55.186,176.224.55.186,com.myyearbook.m,9ugvqe0kl1dma48j9be0m187a,SM-G611F, SM-G611F Build/R16NW,18/01/2019 09:06
116413,Speedchecker,195.7904955,162.158.155.99,GB,17.813,2.902,121,SaudiNet,SaudiNet,1.5478E+12,24.15128,47.324922,fixed,bf01b4c2-8ab0-4b71-8bca-33ea1bd22cf5,AMS|FRA,{APP_ID},mopub,SA,51.218.246.255,51.218.246.255,com.qihoo.security.lite,9ugvqe0kl1dma48j9be0m187a,SM-G928C, SM-G928C Build/NRD90M,18/01/2019 09:07
116413,Speedchecker,195.7904955,162.158.155.99,GB,19.922,2.602,162,SaudiNet,SaudiNet,1.5478E+12,24.15128,47.324922,fixed,bf01b4c2-8ab0-4b71-8bca-33ea1bd22cf5,AMS|FRA|LHR,{APP_ID},mopub,SA,51.218.246.255,51.218.246.255,com.qihoo.security.lite,9ugvqe0kl1dma48j9be0m187a,SM-G928C, SM-G928C Build/NRD90M,18/01/2019 09:07
116413,Speedchecker,195.7904955,162.158.155.99,GB,25.15,3.161,204,SaudiNet,SaudiNet,1.5478E+12,24.15128,47.324922,fixed,bf01b4c2-8ab0-4b71-8bca-33ea1bd22cf5,AMS|FRA,{APP_ID},mopub,SA,51.218.246.255,51.218.246.255,com.qihoo.security.lite,9ugvqe0kl1dma48j9be0m187a,SM-G928C, SM-G928C Build/NRD90M,18/01/2019 09:09
114705,Speedchecker,286.0007353,162.158.98.59,AE,0.229,0,2376,Mobily,Mobily,1.5478E+12,24.137709,47.343907,fixed,18bef4ee-6e57-42d0-8642-0861e3e56421,DXB,{APP_ID},mopub,SA,37.42.53.182,37.42.53.182,com.skout.android,9ugvqe0kl1dma48j9be0m187a,vivo 1606, vivo 1606 Build/MMB29M,18/01/2019 09:10
416403,Speedchecker,544.9640601,162.158.91.84,DE,4.377,2.76,263,SaudiNet,SaudiNet,1.5478E+12,24.1173,47.287374,fixed,e2f7b9a8-dc0a-440b-bf88-333e19363bf5,AMS|LHR|FRA,{APP_ID},mopub,SA,5.156.114.16,5.156.114.16,com.apusapps.browser,9ugvqe0kl1dma48j9be0m187a,HTC One M9PLUS, HTC One M9PLUS Build/MRA58K,18/01/2019 09:10
114750,Speedchecker,350.6225151,141.101.104.36,NL,8.44,3.373,696,SaudiNet,SaudiNet,1.5478E+12,24.151921,47.367361,fixed,a0e6df86-c4e8-46e4-964c-31e99dbbdf05,LHR|AMS,{APP_ID},mopub,SA,78.95.58.11,78.95.58.11,com.qihoo.security,9ugvqe0kl1dma48j9be0m187a,SM-G935F, SM-G935F Build/R16NW,18/01/2019 09:10
114730,Speedchecker,396.0555995,162.158.155.99,GB,10.104,13.677,236,SaudiNet,SaudiNet,1.5478E+12,24.172794,47.311486,fixed,c68ef472-60fe-4e5b-b26a-6cda63424f64,LHR|FRA|AMS,{APP_ID},mopub,SA,2.90.136.90,2.90.136.90,com.skout.android,9ugvqe0kl1dma48j9be0m187a,TA-1021, TA-1021 Build/OPR1.170623.026,18/01/2019 09:11
114730,Speedchecker,396.0555995,162.158.155.99,GB,17.208,6.197,216,SaudiNet,SaudiNet,1.5478E+12,24.172794,47.311486,fixed,c68ef472-60fe-4e5b-b26a-6cda63424f64,LHR|FRA,{APP_ID},mopub,SA,2.90.136.90,2.90.136.90,com.skout.android,9ugvqe0kl1dma48j9be0m187a,TA-1021, TA-1021 Build/OPR1.170623.026,18/01/2019 09:11
